time(UTC),Year,Month,Day,Hour(UTC),Hour Taxila,G(h),Gd(h),T2m,RH,Gb(n),IR(h),WS10m,WD10m,SP,,,,,,
20170224:0300,2017,02,24,03,8,316.1,92.45,7.39,76.7,905.67,254.5,1.72,2,94660,,,,,,
20170224:0400,2017,02,24,04,9,522.7,97.5,13.36,53.85,991.61,260.3,1.66,326,94720,,,,,,
20170224:0500,2017,02,24,05,10,679.5,104.25,15.86,38.85,1000.08,265.5,2.48,309,94760,,,,,,
20170224:0600,2017,02,24,06,11,772.55,104.35,17.21,36.3,988.19,269.95,2.97,310,94780,,,,,,
20170224:0700,2017,02,24,07,12,791.3,114.85,17.95,33.9,933.21,276.15,3.79,313,94760,,,,,,
20170224:0800,2017,02,24,08,13,742.7,122,18.57,32.75,864.58,280.4,3.86,315,94690,,,,,,
20170224:0900,2017,02,24,09,14,639.3,96.7,18.94,31.65,827.36,288.35,3.59,314,94580,,,,,,
20170224:1000,2017,02,24,10,15,470,83.55,19.06,32.9,711.94,282.35,3.38,308,94560,,,,,,
20170224:1100,2017,02,24,11,16,264.95,64.75,18.62,35.35,517.88,283.5,3.1,304,94490,,,,,,
20170224:1200,2017,02,24,12,17,65.05,25.1,17.51,43.9,201.99,281.95,2.21,301,94480,,,,,,
20170224:1300,2017,02,24,13,18,0,0,15.5,52.25,0,277.3,2.14,315,94490,,,,,,
20170224:1400,2017,02,24,14,19,0,0,13.15,62.3,0,272.65,2.07,345,94530,,,,,,
20170224:1500,2017,02,24,15,20,0,0,11.33,66.75,0,269.75,2.14,4,94580,,,,,,
20170224:1600,2017,02,24,16,21,0,0,9.89,71.6,0,268.2,2.07,13,94610,,,,,,
20170224:1700,2017,02,24,17,22,0,0,8.93,74.15,0,267.05,2.14,25,94640,,,,,,
20170224:1800,2017,02,24,18,23,0,0,8.06,79.7,0,266.5,2.14,35,94620,,,,,,
20170224:1900,2017,02,24,19,0,0,0,7.81,76.8,0,267.05,2,36,94560,,,,,,
20170224:2000,2017,02,24,20,1,0,0,7.3,76.7,0,266.1,2.14,36,94560,,,,,,
20170224:2100,2017,02,24,21,2,0,0,6.95,76.65,0,264.95,2.28,36,94520,,,,,,
20170224:2200,2017,02,24,22,3,0,0,6.62,79.5,0,264.15,2.34,36,94480,,,,,,
20170224:2300,2017,02,24,23,4,0,0,6.57,76.55,0,270.35,2.48,36,94440,,,,,,
20170225:0000,2017,02,25,00,5,0,0,6.48,76.55,0,269,2.55,36,94420,,,,,,
20170225:0100,2017,02,25,01,6,0,0,6.21,76.5,0,266.4,2.55,35,94410,,,,,,
20170225:0200,2017,02,25,02,7,115.05,57.05,5.86,76.5,1255.4,265.1,2.34,28,94450,,,,,,
20170225:0300,2017,02,25,03,8,322.1,74,8.2,79.7,987.31,265.1,1.59,12,94520,,,,,,
20170225:0400,2017,02,25,04,9,519.25,89.85,14.38,54.1,991.07,272.3,1.66,333,94560,,,,,,
20170225:0500,2017,02,25,05,10,665.4,103.05,16.66,40.5,970,277.9,2.48,314,94610,,,,,,
20170225:0600,2017,02,25,06,11,765.1,104.15,17.86,35.2,970.96,284.3,3.03,311,94640,,,,,,
20170225:0700,2017,02,25,07,12,791.7,104.35,18.77,35.35,942.44,287,3.86,311,94570,,,,,,
20170225:0800,2017,02,25,08,13,745.05,103.65,19.31,32.9,888.06,289.9,4.14,313,94490,,,,,,
20170225:0900,2017,02,25,09,14,635.15,95.05,19.61,31.8,818.37,291.45,4.14,314,94400,,,,,,
20170225:1000,2017,02,25,10,15,467.3,86.3,19.71,33.05,696.87,292.8,4,315,94340,,,,,,
20170225:1100,2017,02,25,11,16,264.7,66,19.37,34.3,509.16,293.2,3.66,314,94320,,,,,,
20170225:1200,2017,02,25,12,17,66.55,25.9,18.25,44.05,202.05,291.45,2.76,312,94290,,,,,,
20170225:1300,2017,02,25,13,18,0,0,16.27,50.5,0,286.8,2.28,324,94300,,,,,,
20170225:1400,2017,02,25,14,19,0,0,14.09,58.1,0,281.95,2.21,345,94320,,,,,,
20170225:1500,2017,02,25,15,20,0,0,12.51,62.2,0,279.25,2.41,358,94360,,,,,,
20170225:1600,2017,02,25,16,21,0,0,11.35,62,0,277.3,2.48,4,94360,,,,,,
20170225:1700,2017,02,25,17,22,0,0,10.53,64.1,0,275.4,2.55,6,94380,,,,,,
20170225:1800,2017,02,25,18,23,0,0,9.8,64,0,273.45,2.55,9,94380,,,,,,
20170225:1900,2017,02,25,19,0,0,0,8.9,71.4,0,273.65,1.93,28,94300,,,,,,
20170225:2000,2017,02,25,20,1,0,0,8.36,74.05,0,270.95,1.93,25,94290,,,,,,
20170225:2100,2017,02,25,21,2,0,0,7.6,76.7,0,269.2,2.07,26,94270,,,,,,
20170225:2200,2017,02,25,22,3,0,0,7.24,73.9,0,267.45,2.41,29,94220,,,,,,
20170225:2300,2017,02,25,23,4,0,0,6.87,73.8,0,265.3,2.55,31,94160,,,,,,
20170226:0000,2017,02,26,00,5,0,0,6.36,76.55,0,263.2,2.41,30,94170,,,,,,
20170226:0100,2017,02,26,01,6,0,0,5.86,76.5,0,261,2.28,26,94180,,,,,,
20170226:0200,2017,02,26,02,7,124.7,61.43,5.59,79.35,1254.84,258.95,2.21,18,94200,,,,,,
20170226:0300,2017,02,26,03,8,337.5,73.9,8.43,76.85,1030.97,259.9,1.52,7,94260,,,,,,
20170226:0400,2017,02,26,04,9,536.4,90.2,14.71,56.15,1019.24,264.35,1.45,330,94310,,,,,,
20170226:0500,2017,02,26,05,10,690.1,99.85,17.19,40.6,1010.18,271.9,2.14,313,94360,,,,,,
20170226:0600,2017,02,26,06,11,783.5,105.15,18.59,35.35,989.91,278.3,2.55,311,94360,,,,,,
20170226:0700,2017,02,26,07,12,807.2,106.35,19.65,34.3,955.11,283.9,2.97,310,94300,,,,,,
20170226:0800,2017,02,26,08,13,760.2,103.75,20.29,33.15,903.49,287.95,3.03,306,94210,,,,,,
20170226:0900,2017,02,26,09,14,647.6,96.7,20.61,32.1,829.55,291.25,3.03,302,94130,,,,,,
20170226:1000,2017,02,26,10,15,477.9,85.7,20.59,33.3,712.28,293.2,2.97,298,94110,,,,,,
20170226:1100,2017,02,26,11,16,271.7,66.85,20.16,34.45,520.07,293.4,2.76,298,94080,,,,,,
20170226:1200,2017,02,26,12,17,69.85,26.95,19.09,44.3,209.7,291.45,1.86,298,94090,,,,,,
20170226:1300,2017,02,26,13,18,0,0,17.32,54.6,0,286.6,1.59,318,94110,,,,,,
20170226:1400,2017,02,26,14,19,0,0,14.46,67.35,0,281,1.59,358,94160,,,,,,
20170226:1500,2017,02,26,15,20,0,0,12.67,72.05,0,278.3,2,24,94230,,,,,,
20170226:1600,2017,02,26,16,21,0,0,11.32,71.85,0,275.95,2.34,37,94250,,,,,,
20170226:1700,2017,02,26,17,22,0,0,10.03,77.1,0,273.45,2.48,43,94270,,,,,,
20170226:1800,2017,02,26,18,23,0,0,8.78,79.85,0,270.35,2.41,45,94270,,,,,,
20170226:1900,2017,02,26,19,0,0,0,8.55,82.75,0,271.3,2.21,55,94240,,,,,,
20170226:2000,2017,02,26,20,1,0,0,7.97,82.7,0,269.75,2.28,51,94210,,,,,,
20170226:2100,2017,02,26,21,2,0,0,7.6,82.65,0,268.6,2.34,48,94200,,,,,,
20170226:2200,2017,02,26,22,3,0,0,7.27,79.65,0,266.85,2.48,48,94160,,,,,,
20170226:2300,2017,02,26,23,4,0,0,6.86,82.6,0,265.1,2.55,48,94150,,,,,,
20170227:0000,2017,02,27,00,5,0,0,6.35,82.55,0,263.6,2.62,47,94150,,,,,,
20170227:0100,2017,02,27,01,6,0,0,5.88,82.5,0,261.55,2.55,42,94180,,,,,,
20170227:0200,2017,02,27,02,7,126.5,57.89,5.65,82.4,1254.27,259.7,2.41,35,94220,,,,,,
20170227:0300,2017,02,27,03,8,336.9,82.5,8.27,82.75,978,262.05,1.52,26,94300,,,,,,
20170227:0400,2017,02,27,04,9,533.55,101.35,15.33,62.75,977.12,269.6,1.1,342,94400,,,,,,
20170227:0500,2017,02,27,05,10,685.65,114.7,18.19,39.4,969.55,278.5,1.79,316,94480,,,,,,
20170227:0600,2017,02,27,06,11,786,105.7,19.54,34.3,986.2,286.05,1.93,315,94500,,,,,,
20170227:0700,2017,02,27,07,12,809.3,106.75,20.49,30.9,951.64,286.8,2.34,317,94520,,,,,,
20170227:0800,2017,02,27,08,13,762.1,103.65,21.21,29.9,900.9,291.25,2.34,312,94460,,,,,,
20170227:0900,2017,02,27,09,14,648.35,97.6,21.58,28.9,824.22,294.35,2.28,303,94390,,,,,,
20170227:1000,2017,02,27,10,15,479.75,85.65,21.57,28.9,710.73,296.3,2.07,296,94330,,,,,,
20170227:1100,2017,02,27,11,16,271.2,71.45,21.13,32.2,502.5,296.3,2,290,94290,,,,,,
20170227:1200,2017,02,27,12,17,60.4,41,19.99,41.45,93.3,295.3,1.38,293,94300,,,,,,
20170227:1300,2017,02,27,13,18,0,0,18.16,52.9,0,299.75,1.31,319,94310,,,,,,
20170227:1400,2017,02,27,14,19,0,0,15.72,69.9,0,317,1.45,8,94380,,,,,,
20170227:1500,2017,02,27,15,20,0,0,14.83,62.65,0,324.15,2.28,37,94420,,,,,,
20170227:1600,2017,02,27,16,21,0,0,13.44,69.65,0,324.95,2.07,48,94430,,,,,,
20170227:1700,2017,02,27,17,22,0,0,12.67,72.05,0,322.05,2.14,52,94480,,,,,,
20170227:1800,2017,02,27,18,23,0,0,11.97,74.6,0,322.4,2,54,94460,,,,,,
20170227:1900,2017,02,27,19,0,0,0,11.35,77.3,0,308.65,1.79,62,94430,,,,,,
20170227:2000,2017,02,27,20,1,0,0,11.5,77.3,0,328,1.72,67,94420,,,,,,
20170227:2100,2017,02,27,21,2,0,0,11.74,77.3,0,330.55,1.86,63,94390,,,,,,
20170227:2200,2017,02,27,22,3,0,0,11.76,74.55,0,331.5,2.07,74,94370,,,,,,
20170227:2300,2017,02,27,23,4,0,0,11.41,74.55,0,323.55,1.93,87,94360,,,,,,
20170228:0000,2017,02,28,00,5,0,0,11.12,71.75,0,311.75,2.14,78,94340,,,,,,
20170228:0100,2017,02,28,01,6,0,0,10.45,74.4,0,308.2,1.93,70,94380,,,,,,
20170228:0200,2017,02,28,02,7,98.1,57.65,10.18,71.6,685.12,299,2.21,64,94430,,,,,,
20170228:0300,2017,02,28,03,8,273.95,103.2,11.62,77.3,645.29,310.4,1.52,71,94490,,,,,,
20170228:0400,2017,02,28,04,9,445.7,165.9,16.86,52.65,626.1,306.35,1.17,105,94570,,,,,,
20170228:0500,2017,02,28,05,10,643.5,145.45,18.63,41.05,839.2,311.2,1.24,137,94620,,,,,,
20170228:0600,2017,02,28,06,11,547.15,225.75,19.7,35.6,462.86,323.2,1.38,152,94640,,,,,,
20170228:0700,2017,02,28,07,12,659.7,202.55,19.62,42.85,615.52,331.7,2,128,94630,,,,,,
20170228:0800,2017,02,28,08,13,539.95,218.85,20.23,39.95,436.77,343.1,1.93,114,94570,,,,,,
20170228:0900,2017,02,28,09,14,413.15,184.7,20.21,38.5,339.81,343.5,2.14,102,94470,,,,,,
20170228:1000,2017,02,28,10,15,296.35,153,20.15,38.5,256.74,337.9,2.83,113,94430,,,,,,
20170228:1100,2017,02,28,11,16,157.45,91.35,19.42,41.3,164.79,335.75,2.76,113,94400,,,,,,
20170228:1200,2017,02,28,12,17,45.55,28.2,18.16,51,82.12,345.45,2.34,97,94410,,,,,,
20170228:1300,2017,02,28,13,18,0,0,16.81,60.75,0,348.35,1.79,84,94440,,,,,,
20170228:1400,2017,02,28,14,19,0,0,15.3,69.85,0,332.65,1.72,84,94470,,,,,,
20170228:1500,2017,02,28,15,20,0,0,13.93,72.3,0,317.75,1.86,74,94500,,,,,,
20170228:1600,2017,02,28,16,21,0,0,9.97,86.98,0,321,2.5,58,94510,,,,,,
20170228:1700,2017,02,28,17,22,0,0,10.3,84.25,0,319.85,2.46,53,94520,,,,,,
20170228:1800,2017,02,28,18,23,0,0,10.63,81.51,0,318.69,2.42,51,94530,,,,,,
20170228:1900,2017,02,28,19,0,0,0,10.96,78.78,0,317.54,2.37,43,94450,,,,,,
20170228:2000,2017,02,28,20,1,0,0,11.28,76.04,0,316.39,2.33,51,94460,,,,,,
20170228:2100,2017,02,28,21,2,0,0,11.61,73.3,0,315.23,2.29,48,94400,,,,,,
20170228:2200,2017,02,28,22,3,0,0,11.94,70.57,0,314.08,2.25,48,94380,,,,,,
20170228:2300,2017,02,28,23,4,0,0,12.27,67.83,0,312.93,2.21,48,94330,,,,,,
20090301:0000,2009,03,01,00,5,0,0,12.59,65.09,0,311.77,2.17,15,93960,,,,,,
20090301:0100,2009,03,01,01,6,0,0,12.92,62.36,0,310.62,2.13,18,93940,,,,,,
20090301:0200,2009,03,01,02,7,99.7,70.7,13.25,59.62,457.2,309.47,2.09,16,93980,,,,,,
20090301:0300,2009,03,01,03,8,264.7,169.45,13.57,56.89,353.91,308.31,2.05,9,94030,,,,,,
20090301:0400,2009,03,01,04,9,471.65,187.6,13.9,54.15,629.12,307.16,2,332,94090,,,,,,
20090301:0500,2009,03,01,05,10,580.6,242,14.23,51.41,566.13,306.01,1.96,306,94140,,,,,,
20090301:0600,2009,03,01,06,11,623.25,310.4,14.56,48.68,447.61,304.85,1.92,297,94170,,,,,,
20090301:0700,2009,03,01,07,12,678,296.45,14.88,45.94,510.67,303.7,1.88,313,94130,,,,,,
20090301:0800,2009,03,01,08,13,659.1,247,20.51,31.95,557.31,326.65,2.76,314,94060,,,,,,
20090301:0900,2009,03,01,09,14,526.55,221.95,20.72,30.9,450.36,328.2,2.69,312,94000,,,,,,
20090301:1000,2009,03,01,10,15,331.6,230.05,20.45,34.45,180.64,330.55,2.83,313,93980,,,,,,
20090301:1100,2009,03,01,11,16,151.15,136,19.67,39.8,37.44,331.5,2.07,314,93960,,,,,,
20090301:1200,2009,03,01,12,17,41.75,39.05,18.32,47.55,12.58,333.65,1.79,313,93960,,,,,,
20090301:1300,2009,03,01,13,18,0,0,16.58,54.6,0,328.05,1.86,319,93970,,,,,,
20090301:1400,2009,03,01,14,19,0,0,14.77,64.95,0,322.4,1.86,340,94020,,,,,,
20090301:1500,2009,03,01,15,20,0,0,13.62,69.65,0,321.65,1.93,356,94100,,,,,,
20090301:1600,2009,03,01,16,21,0,0,12.92,69.45,0,319.7,2.21,13,94140,,,,,,
20090301:1700,2009,03,01,17,22,0,0,12.27,71.95,0,316.2,2.34,24,94160,,,,,,
20090301:1800,2009,03,01,18,23,0,0,11.58,74.55,0,314.85,2.28,24,94160,,,,,,
20090301:1900,2009,03,01,19,0,0,0,11.05,77.2,0,310.8,2,29,94120,,,,,,
20090301:2000,2009,03,01,20,1,0,0,10.51,80.05,0,305.75,2.07,28,94070,,,,,,
20090301:2100,2009,03,01,21,2,0,0,9.8,82.9,0,294.15,2.14,29,94030,,,,,,
20090301:2200,2009,03,01,22,3,0,0,9.39,82.85,0,298.2,2.07,25,94010,,,,,,
20090301:2300,2009,03,01,23,4,0,0,8.96,76.95,0,292.05,2.14,22,93970,,,,,,
20090302:0000,2009,03,02,00,5,0,0,8.5,76.85,0,287.6,2.14,18,93970,,,,,,
20090302:0100,2009,03,02,01,6,0,0,8.31,76.8,0,288.45,2.21,16,94010,,,,,,
20090302:0200,2009,03,02,02,7,120.6,58.2,8.29,73.95,919.4,288.75,2.34,23,94030,,,,,,
20090302:0300,2009,03,02,03,8,335.25,85.7,10.59,77.15,911.76,294.55,1.38,16,94050,,,,,,
20090302:0400,2009,03,02,04,9,531.3,103.35,16.73,58.7,938.21,293,1.1,306,94130,,,,,,
20090302:0500,2009,03,02,05,10,676.65,118.4,19.44,38.2,926.2,299.75,1.86,309,94170,,,,,,
20090302:0600,2009,03,02,06,11,762.2,124.95,20.97,35.9,905.82,307.5,2.14,317,94190,,,,,,
20090302:0700,2009,03,02,07,12,771.95,155.55,22.16,33.7,820.13,316.2,1.93,309,94190,,,,,,
20090302:0800,2009,03,02,08,13,707.35,186.25,22.87,35.1,700.68,322.8,2.14,298,94130,,,,,,
20090302:0900,2009,03,02,09,14,497.15,268.1,23.12,35.25,336.64,333.85,2.28,298,94050,,,,,,
20090302:1000,2009,03,02,10,15,298.7,231.35,22.86,37.75,119,354.75,2.62,304,94020,,,,,,
20090302:1100,2009,03,02,11,16,185.55,134.95,21.97,43.4,123.96,363.05,1.93,316,94010,,,,,,
20090302:1200,2009,03,02,12,17,63.6,41.95,21.02,51.65,99.36,350.1,1.52,322,93970,,,,,,
20090302:1300,2009,03,02,13,18,0,0,19.36,61.3,0,330.95,1.66,313,93980,,,,,,
20090302:1400,2009,03,02,14,19,0,0,16.96,72.7,0,326.85,1.66,317,94060,,,,,,
20090302:1500,2009,03,02,15,20,0,0,15.61,75.15,0,332.5,1.59,350,94130,,,,,,
20090302:1600,2009,03,02,16,21,0,0,15.37,72.45,0,342.75,2.41,39,94100,,,,,,
20090302:1700,2009,03,02,17,22,0,0,14.83,75,0,349.9,2.28,49,94070,,,,,,
20090302:1800,2009,03,02,18,23,0,0,13.81,80.4,0,336.55,1.79,50,94080,,,,,,
20090302:1900,2009,03,02,19,0,0,0,13.42,83.25,0,337.5,1.79,43,94090,,,,,,
20090302:2000,2009,03,02,20,1,0,0,13.21,83.25,0,340.6,2,30,94060,,,,,,
20090302:2100,2009,03,02,21,2,0,0,13.09,83.25,0,338.85,2.28,17,94010,,,,,,
20090302:2200,2009,03,02,22,3,0,0,13.49,74.85,0,343.5,2.62,15,93960,,,,,,
20090302:2300,2009,03,02,23,4,0,0,13.48,72.2,0,348.95,2.69,17,93870,,,,,,
20090303:0000,2009,03,03,00,5,0,0,13.48,67.15,0,345.65,2.9,25,93810,,,,,,
20090303:0100,2009,03,03,01,6,0,0,12.97,67.05,0,317.9,2.9,35,93780,,,,,,
20090303:0200,2009,03,03,02,7,118.05,56.65,12.59,69.45,848.55,315.85,2.69,45,93760,,,,,,
20090303:0300,2009,03,03,03,8,240.25,127.35,13.55,77.6,405.67,315.05,1.52,60,93750,,,,,,
20090303:0400,2009,03,03,04,9,371.25,182.75,16.74,60.85,409.08,329.2,0.34,106,93820,,,,,,
20090303:0500,2009,03,03,05,10,569.85,211.65,18.43,59.05,589.75,332.5,0.48,230,93830,,,,,,
20090303:0600,2009,03,03,06,11,456.25,264.75,19.58,57.2,270.45,338.85,1.31,276,93830,,,,,,
20090303:0700,2009,03,03,07,12,538.5,314.85,18.19,68.05,295.83,351.65,2.9,351,93860,,,,,,
20090303:0800,2009,03,03,08,13,429.75,308.15,18.77,68.05,162.58,350.1,2.9,6,93760,,,,,,
20090303:0900,2009,03,03,09,14,383.55,250.85,18.57,68.05,193.89,356.3,3.24,360,93680,,,,,,
20090303:1000,2009,03,03,10,15,287.55,161.55,17.99,72.9,221.16,357.45,3.1,360,93620,,,,,,
20090303:1100,2009,03,03,11,16,123.4,76.7,17.81,72.9,113.43,357.65,2.28,341,93650,,,,,,
20090303:1200,2009,03,03,12,17,46.5,27.15,16.71,80.8,87.49,361.9,1.72,298,93660,,,,,,
20090303:1300,2009,03,03,13,18,0.05,0.05,15.67,86.5,0,353.4,1.24,345,93690,,,,,,
20090303:1400,2009,03,03,14,19,0,0,14.64,86.45,0,326.3,2.41,37,93720,,,,,,
20090303:1500,2009,03,03,15,20,0,0,14.22,86.4,0,329.55,2.48,37,93780,,,,,,
20090303:1600,2009,03,03,16,21,0,0,13.4,86.3,0,317.95,2.34,15,93840,,,,,,
20090303:1700,2009,03,03,17,22,0,0,12.32,86.2,0,305.75,2.34,2,93900,,,,,,
20090303:1800,2009,03,03,18,23,0,0,11.69,86.15,0,308.3,2.41,10,93940,,,,,,
20090303:1900,2009,03,03,19,0,0,0,11.79,80.15,0,306.55,2.69,31,93960,,,,,,
20090303:2000,2009,03,03,20,1,0,0,11.19,83.05,0,305.4,2.48,22,93920,,,,,,
20090303:2100,2009,03,03,21,2,0,0,10.76,83,0,310.2,2.34,14,93860,,,,,,
20090303:2200,2009,03,03,22,3,0,0,10.24,86,0,306.35,2.21,8,93820,,,,,,
20090303:2300,2009,03,03,23,4,0,0,9.82,85.95,0,305.4,2.14,3,93770,,,,,,
20090304:0000,2009,03,04,00,5,0,0,9.82,85.95,0,310.4,2.21,3,93770,,,,,,
20090304:0100,2009,03,04,01,6,0,0,10.13,86,0,321.55,2.28,2,93790,,,,,,
20090304:0200,2009,03,04,02,7,116.5,56.25,10.31,86,783.55,318.75,2.21,358,93810,,,,,,
20090304:0300,2009,03,04,03,8,310.05,104.4,12.76,80.3,726.82,305.95,1.93,352,93850,,,,,,
20090304:0400,2009,03,04,04,9,519.7,101.7,16.29,65.25,898.01,306.75,2.14,340,93910,,,,,,
20090304:0500,2009,03,04,05,10,651.85,112,18.45,56.95,882.06,323,2.62,340,93950,,,,,,
20090304:0600,2009,03,04,06,11,745.75,116,19.75,55.2,883.69,324.75,2.55,344,93940,,,,,,
20090304:0700,2009,03,04,07,12,760.5,116.85,20.89,55.45,846.42,329.95,2.41,357,93890,,,,,,
20090304:0800,2009,03,04,08,13,712.15,124.45,21.55,53.6,781.35,330.15,1.59,6,93810,,,,,,
20090304:0900,2009,03,04,09,14,571.4,127.4,21.7,51.9,644.98,338.3,0.97,57,93760,,,,,,
20090304:1000,2009,03,04,10,15,463.2,88.1,21.8,51.9,654.1,346,1.72,92,93740,,,,,,
20090304:1100,2009,03,04,11,16,248.2,69.1,21.61,51.9,431.36,338.1,1.66,100,93730,,,,,,
20090304:1200,2009,03,04,12,17,70.2,28.7,21.24,55.55,184.93,341.55,1.17,100,93760,,,,,,
20090304:1300,2009,03,04,13,18,0.1,0.1,20.13,61.5,0,333.85,0.69,75,93740,,,,,,
20090304:1400,2009,03,04,14,19,0,0,17.73,72.9,0,320.1,1.03,44,93830,,,,,,
20090304:1500,2009,03,04,15,20,0,0,15.79,80.65,0,325.1,1.72,54,93900,,,,,,
20090304:1600,2009,03,04,16,21,0,0,14.64,77.75,0,322.2,2.21,57,93940,,,,,,
20090304:1700,2009,03,04,17,22,0,0,13.82,80.4,0,328.8,2.34,48,93980,,,,,,
20090304:1800,2009,03,04,18,23,0,0,13.2,80.35,0,326.85,2.55,35,93960,,,,,,
20090304:1900,2009,03,04,19,0,0,0,13.15,77.5,0,322.6,2.21,41,93960,,,,,,
20090304:2000,2009,03,04,20,1,0,0,12.74,77.45,0,320.65,2.21,38,93910,,,,,,
20090304:2100,2009,03,04,21,2,0,0,12.27,74.6,0,311.55,2.28,32,93880,,,,,,
20090304:2200,2009,03,04,22,3,0,0,11.71,74.55,0,302.3,2.48,27,93850,,,,,,
20090304:2300,2009,03,04,23,4,0,0,11.18,77.2,0,303.45,2.48,23,93840,,,,,,
20090305:0000,2009,03,05,00,5,0,0,11.12,77.2,0,309.85,2.48,25,93850,,,,,,
20090305:0100,2009,03,05,01,6,0,0,10.79,77.15,0,296.2,2.62,32,93880,,,,,,
20090305:0200,2009,03,05,02,7,144.65,50.55,10.61,77.15,1154.99,295.5,2.55,38,93920,,,,,,
20090305:0300,2009,03,05,03,8,357.2,78.6,12.56,74.7,968.65,295.5,1.72,38,93960,,,,,,
20090305:0400,2009,03,05,04,9,548.7,92.3,16.24,60.75,970.71,293.95,1.1,13,94010,,,,,,
20090305:0500,2009,03,05,05,10,702.8,102.8,18.57,54.95,972.93,305.75,1.17,317,94070,,,,,,
20090305:0600,2009,03,05,06,11,792.95,107.5,19.88,53.25,955.74,313.5,1.86,294,94100,,,,,,
20090305:0700,2009,03,05,07,12,816.7,109.5,21.04,51.65,924.65,315.45,2.48,306,94070,,,,,,
20090305:0800,2009,03,05,08,13,753.7,103.8,21.61,44.95,859.25,319.7,2.62,308,94030,,,,,,
20090305:0900,2009,03,05,09,14,618.25,116.25,21.72,41.85,725.07,318.35,2.76,313,93990,,,,,,
20090305:1000,2009,03,05,10,15,455.85,92.15,21.47,41.7,630.16,322.6,3.1,318,93940,,,,,,
20090305:1100,2009,03,05,11,16,282.65,72.45,20.87,43.1,502.09,321.25,3.24,330,93930,,,,,,
20090305:1200,2009,03,05,12,17,82.5,33.65,20.05,47.9,214.61,310.8,2.41,330,93920,,,,,,
20090305:1300,2009,03,05,13,18,0.15,0.15,18.25,54.95,0,303.65,1.93,320,93930,,,,,,
20090305:1400,2009,03,05,14,19,0,0,15.95,65.15,0,298.4,1.93,336,94020,,,,,,
20090305:1500,2009,03,05,15,20,0,0,14.27,69.75,0,297.85,2,355,94070,,,,,,
20090305:1600,2009,03,05,16,21,0,0,13.02,72.1,0,291.05,2.14,10,94110,,,,,,
20090305:1700,2009,03,05,17,22,0,0,12.09,71.95,0,287.75,2.48,28,94120,,,,,,
20090305:1800,2009,03,05,18,23,0,0,11.06,77.2,0,285.65,2.48,33,94120,,,,,,
20090305:1900,2009,03,05,19,0,0,0,10.7,80.05,0,283.9,2.41,36,94040,,,,,,
20090305:2000,2009,03,05,20,1,0,0,10.1,82.95,0,285.65,2.28,32,94050,,,,,,
20090305:2100,2009,03,05,21,2,0,0,9.5,85.95,0,283.1,2.28,25,94010,,,,,,
20090305:2200,2009,03,05,22,3,0,0,9.44,82.9,0,291.65,2.28,18,94010,,,,,,
20090305:2300,2009,03,05,23,4,0,0,9.86,82.9,0,302.1,2.41,13,93990,,,,,,
20090306:0000,2009,03,06,00,5,0,0,10,77.1,0,297.25,2.55,12,93980,,,,,,
20090306:0100,2009,03,06,01,6,0,0,9.87,77,0,295.25,2.55,15,93990,,,,,,
20090306:0200,2009,03,06,02,7,140.75,64.85,9.67,77,881.61,288.55,2.48,14,94030,,,,,,
20090306:0300,2009,03,06,03,8,332,118.4,12.31,71.95,730.71,287,2.14,4,94060,,,,,,
20090306:0400,2009,03,06,04,9,509,150.95,16.81,54.6,753.97,294.95,2.34,346,94090,,,,,,
20090306:0500,2009,03,06,05,10,662.7,167.6,19.17,45.95,796.8,304.8,2.83,334,94120,,,,,,
20090306:0600,2009,03,06,06,11,800.7,117.8,20.74,41.55,946.18,308.1,3.1,331,94120,,,,,,
20090306:0700,2009,03,06,07,12,823.6,106.25,21.69,40.35,932.57,306.75,3.24,324,94070,,,,,,
20090306:0800,2009,03,06,08,13,767.35,112.15,22.33,39.05,861.51,313.1,3.17,326,94000,,,,,,
20090306:0900,2009,03,06,09,14,633.8,136.6,22.65,36.4,714.09,317.95,2.9,326,93910,,,,,,
20090306:1000,2009,03,06,10,15,420.85,146,22.58,36.4,473.2,318.95,2.69,326,93830,,,,,,
20090306:1100,2009,03,06,11,16,235,109.3,22.18,37.65,297.82,324.75,2.83,323,93790,,,,,,
20090306:1200,2009,03,06,12,17,51.5,44.7,20.85,48.05,29.46,325.9,2.62,314,93760,,,,,,
20090306:1300,2009,03,06,13,18,0.15,0.15,18.75,54.95,0,329.55,2.41,319,93760,,,,,,
20090306:1400,2009,03,06,14,19,0,0,17.04,58.8,0,333.85,2.21,320,93800,,,,,,
20090306:1500,2009,03,06,15,20,0,0,15.81,62.85,0,337.1,2.34,310,93830,,,,,,
20090306:1600,2009,03,06,16,21,0,0,15.07,62.75,0,341.55,2.48,326,93880,,,,,,
20090306:1700,2009,03,06,17,22,0,0,14.66,62.65,0,344.1,2.83,341,93890,,,,,,
20090306:1800,2009,03,06,18,23,0,0,13.98,64.85,0,341.4,2.97,337,93910,,,,,,
20090306:1900,2009,03,06,19,0,0,0,14.33,62.55,0,339.45,3.52,332,93900,,,,,,
20090306:2000,2009,03,06,20,1,0,0,13.94,62.45,0,337.3,3.52,329,93880,,,,,,
20090306:2100,2009,03,06,21,2,0,0,13.53,62.45,0,340,3.17,331,93900,,,,,,
20090306:2200,2009,03,06,22,3,0,0,12.66,69.45,0,344.1,2.48,326,93940,,,,,,
